precinct,ballot_type,registered_voters,ballots_cast,turnout,DONALD_TRUMP,BEN_CARSON,TED_CRUZ,JOHN_KASICH,JIM_GILMORE,WRITE_IN,over_votes,under_votes
1101,Election_Day,33,3,9.09,1,,1,1,,,,
1101,VBM,33,3,9.09,2,,,1,,,,
1102,Election_Day,56,8,14.29,3,,2,2,,1,,
1102,VBM,56,16,28.57,10,1,3,1,,1,,
1103,Election_Day,74,8,10.81,4,1,1,2,,,,
1103,VBM,74,22,29.73,12,1,5,3,,,,1
1104,Election_Day,63,12,19.05,8,,1,1,,1,,1
1104,VBM,63,14,22.22,10,1,1,,,1,,1
1106,Election_Day,58,8,13.79,4,,1,2,,,,1
1106,VBM,58,7,12.07,4,,1,2,,,,
1107,Election_Day,42,5,11.90,3,,,1,,,,1
1107,VBM,42,8,19.05,3,,2,3,,,,
1108,Election_Day,33,5,15.15,2,,,2,,,,1
1108,VBM,33,7,21.21,3,,,1,,2,,1
1109,Election_Day,38,3,7.89,2,,1,,,,,
1109,VBM,38,7,18.42,3,,1,1,1,,,1
1111,Election_Day,56,7,12.50,2,,1,,,2,,2
1111,VBM,56,17,30.36,13,,2,2,,,,
1112,Election_Day,21,4,19.05,,3,,,1,,,
1112,VBM,21,4,19.05,2,,,1,,,,1
1113,Election_Day,62,4,6.45,4,,,,,,,
1113,VBM,62,12,19.35,7,1,1,1,1,,,1
1114,Election_Day,66,6,9.09,4,,,,1,1,,
1114,VBM,66,13,19.70,11,,,,,,,2
1115,Election_Day,36,4,11.11,,2,,,,,,2
1115,VBM,36,2,5.56,1,,1,,,,,
1116,VBM,55,15,27.27,8,,4,,,,,3
1117,Election_Day,44,6,13.64,3,1,1,,1,,,
1117,VBM,44,7,15.91,6,1,,,,,,
1118,Election_Day,30,4,13.33,2,,1,,,1,,
1118,VBM,30,2,6.67,2,,,,,,,
1119,Election_Day,38,4,10.53,3,,,,,1,,
1119,VBM,38,6,15.79,4,1,,,,1,,
1121,Election_Day,53,7,13.21,5,,1,,1,,,
1121,VBM,53,17,32.08,8,,1,3,,,,5
1122,Election_Day,47,0,0.00,,,,,,,,
1122,VBM,47,14,29.79,8,,,2,,,,4
1123,Election_Day,42,1,2.38,,,,1,,,,
1123,VBM,42,7,16.67,5,,1,1,,,,
1124,Election_Day,39,8,20.51,3,,1,1,1,,,2
1124,VBM,39,8,20.51,6,,,1,,,,1
1125,Election_Day,64,5,7.81,1,,3,,,1,,
1125,VBM,64,13,20.31,10,,,3,,,,
1126,Election_Day,49,4,8.16,4,,,,,,,
1126,VBM,49,7,14.29,3,,,1,,1,,2
1127,Election_Day,84,19,22.62,12,,5,,,1,,1
1127,VBM,84,23,27.38,17,1,1,,,2,,2
1128,Election_Day,60,4,6.67,2,1,1,,,,,
1128,VBM,60,17,28.33,8,,4,1,,2,1,1
1129,Election_Day,65,4,6.15,4,,,,,,,
1129,VBM,65,14,21.54,9,,5,,,,,
1131,Election_Day,64,5,7.81,2,1,,2,,,,
1131,VBM,64,18,28.13,13,1,1,2,,1,,
1132,Election_Day,69,1,1.45,,1,,,,,,
1132,VBM,69,25,36.23,15,3,6,,,,,1
1133,Election_Day,58,6,10.34,3,,,,,2,,1
1133,VBM,58,13,22.41,8,1,,1,,2,,1
1134,VBM,51,14,27.45,10,1,2,,,1,,
1135,Election_Day,46,6,13.04,1,,1,1,1,2,,
1135,VBM,46,10,21.74,6,,3,1,,,,
1136,Election_Day,75,6,8.00,4,,1,,,1,,
1136,VBM,75,28,37.33,22,,1,2,,3,,
1141,Election_Day,55,7,12.73,6,,,,,1,,
1141,VBM,55,12,21.82,5,1,3,2,,1,,
1142,Election_Day,48,4,8.33,2,,1,,,1,,
1142,VBM,48,12,25.00,7,,1,1,1,1,,1
1143,Election_Day,49,3,6.12,2,,,1,,,,
1143,VBM,49,6,12.24,4,1,,,,1,,
1144,Election_Day,46,12,26.09,8,,,4,,,,
1144,VBM,46,15,32.61,11,,1,,,1,,2
